k,r,s,energy,run_time
4,10,100,0.1481211746167379,0.0027363805013010277
4,20,100,0.15152368726331378,0.004293855899595656
4,40,100,0.1524954543962307,0.014680265000788496
4,80,100,0.1527517892508969,0.11043932329921517
5,10,100,0.15306751638576352,0.002995302202180028
5,20,100,0.15306019290360445,0.0045830151997506615
5,40,100,0.15290585031510642,0.015413407198502682
5,80,100,0.15283688988665448,0.11424374310008716
6,10,100,0.15306502531470925,0.003030272200703621
6,20,100,0.15286305198230749,0.004663979200995527
6,40,100,0.15281622489314406,0.0159580564009957
6,80,100,0.15280461256278305,0.11673116699967068
7,10,100,0.1528491695207613,0.0033080143010010945
7,20,100,0.15281311244775714,0.005509366799378768
7,40,100,0.15280365962554576,0.017107078299159185
7,80,100,0.1528013884941195,0.12164123929978814
