k,r,s,energy,error,run_time
9,70,40,0.1662947416782368,0.00037192498842986144,0.009593078399848309
9,70,45,0.16643839366703916,0.00022827299962749348,0.011794241800089367
9,70,50,0.16652398814923103,0.00014267851743562932,0.010905772799742409
9,70,55,0.16657542612846366,9.124053820300237e-05,0.013347842400253284
9,70,60,0.1666068959243745,5.977074229215895e-05,0.01366308940014278
9,70,65,0.16662656922582364,4.0097440843017695e-05,0.013274552599978052
9,70,70,0.16663914776412048,2.7518902546180835e-05,0.013323073399806162
9,70,75,0.1666473696259173,1.9297040749349792e-05,0.01638337420008611
9,70,80,0.166652858000965,1.3808665701664502e-05,0.017592058800073574
9,70,85,0.16665659455494433,1.0072111722325694e-05,0.016635849199883524
9,70,90,0.166659185426421,7.4812402456603255e-06,0.017329817599966192
9,70,95,0.16666101270233466,5.653964331997496e-06,0.01991158680029912
9,70,100,0.16666232199921235,4.344667454303508e-06,0.020350655799848027
