k,r,s,energy,error,run_time
9,70,40,0.16650495835264492,0.0001617083140217357,0.022190913600024943
9,70,45,0.16658544797539754,8.121869126911929e-05,0.024251290599931963
9,70,50,0.1666272672462378,3.9399420428853915e-05,0.026520342599906144
9,70,55,0.16664737212249864,1.9294544168019234e-05,0.0284878779999417
9,70,60,0.1666569754640917,9.69120257496292e-06,0.0312694680000277
9,70,65,0.16666164867800892,5.017988657735062e-06,0.034347598000022114
9,70,70,0.1666639859276035,2.680739063148918e-06,0.03623799180022615
9,70,75,0.16666519124172857,1.4754249380855011e-06,0.03731837520026602
9,70,80,0.16666583264377852,8.340228881409395e-07,0.04086014380009147
9,70,85,0.16666618407155126,4.825951153974994e-07,0.04244614960007311
9,70,90,0.16666638182298973,2.8484367692316326e-07,0.05051341399994271
9,70,95,0.1666664962524997,1.7041416694452138e-07,0.04658946140007174
9,70,100,0.16666656438755556,1.0227911109716992e-07,0.04746714520006208
